"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-0.836211492827398,0.0512429170425496,-16.3185771046767,7.28130500849876e-60,-0.936645764693569,-0.735777220961227,"stem","***","News attention"
"news_all_l",0.361982756777716,0.00854105423168429,42.3815078277911,0,0.345242598093611,0.378722915461821,"stem","***","News attention"
"inferred_genderw",-0.0470215960379187,0.0392064252493808,-1.19933392903913,0.230398127217182,-0.123864777489267,0.0298215854134293,"stem","","News attention"
"cited_by_total_all_l",2.40572005489104e-05,3.33247191072095e-06,7.21902575428034,5.23613392174689e-13,1.75256756244059e-05,3.05887254734148e-05,"stem","***","News attention"
"alt_online_all_total_l",0.000804325169305399,0.000312068375707991,2.57740044142769,0.00995465533513179,0.000192682392203822,0.00141596794640698,"stem","*","News attention"
"alt_twitter_total_l",3.12481965625575e-05,2.85149534038855e-05,1.09585297650529,0.27314312039975,-2.46400851298958e-05,8.71364782550109e-05,"stem","","News attention"
"coa_tot_cited_by_total_l",1.24155854837123e-06,2.81138411409739e-07,4.41618255629165,1.00459251490498e-05,6.90537387337341e-07,1.79257970940513e-06,"stem","***","News attention"
"coa_online_all_total_l",0.000142385415447836,0.000100304660275072,1.41952941226622,0.155744728220911,-5.42081061728302e-05,0.000338978937068503,"stem","","News attention"
"coa_twitter_total_l",-2.26096581812787e-05,1.60791604154589e-05,-1.40614668907347,0.159680570720359,-5.41242334972202e-05,8.90491713466283e-06,"stem","","News attention"
"as.factor(year)2014",0.0301142626332613,0.0696725796079155,0.432225458031412,0.665577558153997,-0.106441484108253,0.166670009374775,"stem","","News attention"
"as.factor(year)2015",0.115891819140042,0.0692459128639135,1.67362685170748,0.094203957888672,-0.019827676149827,0.251611314429912,"stem",".","News attention"
"as.factor(year)2016",0.23206031129827,0.0692155877733322,3.35271748407632,0.000800223435959677,0.096400252093768,0.367720370502772,"stem","***","News attention"
"as.factor(year)2017",0.267101718984687,0.0694793924393052,3.84433008993304,0.000120882204419359,0.130924612135924,0.40327882583345,"stem","***","News attention"
"as.factor(year)2018",0.174564954801924,0.0700318193157436,2.49265200458216,0.0126793046148551,0.0373051111712498,0.311824798432598,"stem","*","News attention"
"as.factor(year)2019",-0.0209212099757023,0.0708239691310612,-0.295397310153391,0.767690387863113,-0.159733638714759,0.117891218763354,"stem","","News attention"
"as.factor(year)2020",-0.174773878632404,0.0721602152309627,-2.42202546199462,0.0154342690718104,-0.316205301601749,-0.0333424556630581,"stem","*","News attention"
"as.factor(year)2021",-0.129794537699799,0.0727173178963779,-1.78491921119473,0.0742744220493365,-0.27231786182905,0.0127287864294515,"stem",".","News attention"
"as.factor(year)2022",0.580658249935336,0.0737033634663581,7.87831413148978,3.31827635780464e-15,0.436202312001809,0.725114187868864,"stem","***","News attention"
"as.factor(year)2023",0.46374214364077,0.075799215734699,6.11803353301029,9.47371344436634e-10,0.315178410744378,0.612305876537162,"stem","***","News attention"
"R^2",0.176,0.176,0.176,0.176,0.176,0.176,"stem","","News attention"
"(Intercept)",-0.505315898903735,0.0602274888840825,-8.3901206619505,4.85643471086987e-17,-0.623359607995823,-0.387272189811647,"soc_sci","***","News attention"
"news_all_l",0.378670001173813,0.00930671651675592,40.6878194357861,0,0.360429171986647,0.396910830360979,"soc_sci","***","News attention"
"inferred_genderw",-0.0102866661315209,0.0362326681966579,-0.283905840875108,0.77648254023206,-0.0813013908607602,0.0607280585977183,"soc_sci","","News attention"
"cited_by_total_all_l",5.47006508960185e-06,7.68359991736358e-06,0.711914356347534,0.476517811560739,-9.58951402004569e-06,2.05296441992494e-05,"soc_sci","","News attention"
"alt_online_all_total_l",0.00272031479344692,0.000706976312729063,3.84781603636194,0.000119175487686422,0.00133466668257503,0.00410596290431881,"soc_sci","***","News attention"
"alt_twitter_total_l",5.16976207946672e-05,7.94475009729039e-05,0.650714247290158,0.515230964465652,-0.000104016619773935,0.00020741186136327,"soc_sci","","News attention"
"coa_tot_cited_by_total_l",7.95485534695157e-07,7.12113774907823e-07,1.11707645986504,0.263961634593631,-6.00231817019037e-07,2.19120288640935e-06,"soc_sci","","News attention"
"coa_online_all_total_l",-0.00048941365662522,0.000323359745008381,-1.51352685106965,0.130145885971014,-0.0011231871108917,0.000144359797641264,"soc_sci","","News attention"
"coa_twitter_total_l",0.00010238381503301,5.19460159222317e-05,1.97096568842332,0.0487278005743566,5.71494685091655e-07,0.000204196135380928,"soc_sci","*","News attention"
"as.factor(year)2014",0.0515200249254857,0.0800043183292581,0.643965550877576,0.519597773020906,-0.105285557607538,0.208325607458509,"soc_sci","","News attention"
"as.factor(year)2015",-0.0165449543014589,0.0799295742894666,-0.206994150144489,0.836014427075476,-0.173204041208432,0.140114132605514,"soc_sci","","News attention"
