"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",2.27689543121286,0.238641019451448,9.54108994525187,1.55344218766991e-21,1.80914229216232,2.7446485702634,"stem","***","News attention"
"inferred_genderw",-0.7599755022145,0.385602614863846,-1.97087746016153,0.048750215756721,-1.51578367778826,-0.0041673266407416,"stem","*","News attention"
"cited_by_total_all_l",0.000274652310556306,9.50704553018981e-05,2.88893441904893,0.00386921087144481,8.83075488692888e-05,0.000460997072243323,"stem","*","News attention"
"alt_online_all_total_l",0.00958301066774295,0.00317445743637677,3.01878694542545,0.00254075124569037,0.00336085140082084,0.0158051699346651,"stem","*","News attention"
"alt_twitter_total_l",-0.00017611582028081,0.000287742914303086,-0.612059625194815,0.540504536418706,-0.000740112117791608,0.000387880477229987,"stem","","News attention"
"coa_tot_cited_by_total_l",1.68387172260818e-06,5.05857181061326e-06,0.332874927084221,0.739231819185298,-8.23128389047923e-06,1.15990273356956e-05,"stem","","News attention"
"coa_online_all_total_l",0.000909667261808139,0.000862850002729562,1.05425886183053,0.291775816331239,-0.000781579273403021,0.0026009137970193,"stem","","News attention"
"coa_twitter_total_l",-2.78384246415978e-05,0.000152499204643109,-0.182547998901027,0.855154345414378,-0.000326747563726287,0.000271070714443092,"stem","","News attention"
"as.factor(year)2014",-0.0580729006054374,0.207388916341569,-0.280019306864941,0.779465284388381,-0.464569725191769,0.348423923980895,"stem","","News attention"
"as.factor(year)2015",0.008853852650565,0.190747750767978,0.0464165507321482,0.962978659933512,-0.36502512001576,0.38273282531689,"stem","","News attention"
"as.factor(year)2016",0.0550326270146748,0.244995562663254,0.224627035757039,0.822271484637108,-0.425175862509088,0.535241116538438,"stem","","News attention"
"as.factor(year)2017",-0.0757941461658346,0.286548336731401,-0.264507367344732,0.791391428044784,-0.637448987835223,0.485860695503553,"stem","","News attention"
"as.factor(year)2018",-0.216315763530693,0.314594665120281,-0.687601499688454,0.491710900132669,-0.832943376322565,0.40031184926118,"stem","","News attention"
"as.factor(year)2019",-0.0519886467163941,0.357354717512272,-0.145481909622779,0.8843317099812,-0.752428961860506,0.648451668427718,"stem","","News attention"
"as.factor(year)2020",-0.491545283734206,0.421149412634178,-1.16715177319071,0.243161537153526,-1.31702767658414,0.333937109115725,"stem","","News attention"
"as.factor(year)2021",-0.588999805931326,0.46017788744943,-1.27993939299409,0.200579739285813,-1.49098074730888,0.312981135446233,"stem","","News attention"
"as.factor(year)2022",0.0286871835044255,0.463443058957501,0.0619001254845771,0.950642921171806,-0.879693723084265,0.937068090093116,"stem","","News attention"
"as.factor(year)2023",0.426280464487624,0.602871998212183,0.707082872901311,0.47952235205937,-0.755390944131182,1.60795187310643,"stem","","News attention"
"R^2",0.069,0.069,0.069,0.069,0.069,0.069,"stem",".","News attention"
"(Intercept)",5.38700916305158,0.429692810961092,12.5368845501568,6.62543285963881e-36,4.54477011698742,6.22924820911573,"soc_sci","***","News attention"
"inferred_genderw",-2.07615647605353,0.575935670575069,-3.60484092603693,0.000313187275188503,-3.20504552750055,-0.94726742460652,"soc_sci","***","News attention"
"cited_by_total_all_l",-2.9237863819223e-05,8.26808947953282e-05,-0.353622972895971,0.72362559546559,-0.000191300333061823,0.000132824605423377,"soc_sci","","News attention"
"alt_online_all_total_l",0.0160269224501335,0.0044678413237372,3.58717360103727,0.000335167634653302,0.00726952572745206,0.024784319172815,"soc_sci","***","News attention"
"alt_twitter_total_l",1.41589337547906e-05,0.000711337165954866,0.0199046731036249,0.984119637821569,-0.00138013001127961,0.00140844787878919,"soc_sci","","News attention"
"coa_tot_cited_by_total_l",-7.0843665819888e-06,5.11684892521308e-06,-1.38451744140439,0.166217226836395,-1.71138803362138e-05,2.94514717223623e-06,"soc_sci","","News attention"
"coa_online_all_total_l",-0.00447113665147284,0.00213535793735402,-2.09385816460034,0.0362865646416084,-0.00865664263687651,-0.00028563066606918,"soc_sci","*","News attention"
"coa_twitter_total_l",0.000984153967626849,0.000487193708483865,2.02004654511962,0.0433933385384923,2.92076575777714e-05,0.00193910027767593,"soc_sci","*","News attention"
"as.factor(year)2014",-0.200702542504203,0.232406311690813,-0.863584732462915,0.387827556445164,-0.656241162803541,0.254836077795134,"soc_sci","","News attention"
"as.factor(year)2015",-0.139829428053468,0.248098853319114,-0.563603685316571,0.573030896481786,-0.626126932267527,0.346468076160591,"soc_sci","","News attention"
"as.factor(year)2016",0.0380494128682551,0.288013614292205,0.132109771830619,0.894898942887315,-0.526484844087052,0.602583669823562,"soc_sci","","News attention"
"as.factor(year)2017",0.211123648327664,0.266054029183613,0.793536745056997,0.427475625729659,-0.310367719517033,0.73261501617236,"soc_sci","","News attention"
"as.factor(year)2018",0.709322397896398,0.460357675088205,1.54080715122321,0.123381300121261,-0.193022717553329,1.61166751334612,"soc_sci","","News attention"
"as.factor(year)2019",0.834015137671683,0.305991035031617,2.72561951883822,0.00642429632957782,0.2342434150013,1.43378686034207,"soc_sci","*","News attention"
"as.factor(year)2020",1.77337705218293,0.398083505220052,4.45478656846795,8.44824580745189e-06,0.993095271483616,2.55365883288224,"soc_sci","***","News attention"
"as.factor(year)2021",2.52259568755495,0.464541471502938,5.43029167965038,5.69905871033393e-08,1.61204993059719,3.43314144451271,"soc_sci","***","News attention"
"as.factor(year)2022",2.3457439368607,0.465037088388632,5.04420829097477,4.59830498354219e-07,1.43422672335917,3.25726115036223,"soc_sci","***","News attention"
"as.factor(year)2023",4.59791690209822,1.10522881981658,4.1601493009034,3.19514519190248e-05,2.43156260633315,6.76427119786329,"soc_sci","***","News attention"
"R^2",0.015,0.015,0.015,0.015,0.015,0.015,"soc_sci","*","News attention"
"(Intercept)",2.64780193194217,0.473906231846689,5.58718529955679,2.34013642440123e-08,1.71890231290107,3.57670155098328,"medicine","***","News attention"
"inferred_genderw",-1.07557776183204,0.330031167943966,-3.25901874217728,0.00111999078861561,-1.72246907824338,-0.428686445420706,"medicine","*","News attention"
"cited_by_total_all_l",8.59232986538096e-05,5.10721034333958e-05,1.6823920081119,0.0925096422225367,-1.41827017210847e-05,0.000186029299028704,"medicine",".","News attention"
"alt_online_all_total_l",0.00584408003082898,0.00224329745042105,2.60512935087234,0.00919127107720502,0.0014470115665212,0.0102411484951367,"medicine","*","News attention"
"alt_twitter_total_l",-6.98913707191571e-05,0.000177277590980155,-0.394248197602036,0.693402326516064,-0.000417371685726417,0.000277588944288103,"medicine","","News attention"
"coa_tot_cited_by_total_l",6.7771723700542e-07,2.41643395139437e-06,0.280461726096156,0.779126406254779,-4.05871462661771e-06,5.41414910062855e-06,"medicine","","News attention"
"coa_online_all_total_l",-0.000779084031754897,0.000707802451660882,-1.10070829781212,0.271037884227637,-0.00216644166396441,0.000608273600454617,"medicine","","News attention"
"coa_twitter_total_l",0.000112036816427534,9.6859371024593e-05,1.15669568408706,0.247411575379655,-7.78164220384504e-05,0.000301890054893519,"medicine","","News attention"
"as.factor(year)2014",-0.564894318664217,0.352078056947633,-1.60445761250108,0.108630205695824,-1.25499955677636,0.12521091944793,"medicine","","News attention"
"as.factor(year)2015",-0.507386124331694,0.361239118750154,-1.4045713711383,0.160165480580495,-1.21544788262973,0.200675633966341,"medicine","","News attention"
"as.factor(year)2016",-0.30298297293669,0.394600298708778,-0.767822462193057,0.442602419105155,-1.07643569947241,0.470469753599032,"medicine","","News attention"
"as.factor(year)2017",-0.304996108734989,0.40126219485862,-0.760091811894841,0.447209344908934,-1.09150676188114,0.481514544411162,"medicine","","News attention"
"as.factor(year)2018",-0.526907154624509,0.368105083240865,-1.43140417944116,0.152331220192297,-1.2484268321715,0.194612522922486,"medicine","","News attention"
"as.factor(year)2019",-0.0907772610219224,0.399815975349911,-0.227047608446551,0.820389218856696,-0.874453191473133,0.692898669429288,"medicine","","News attention"
"as.factor(year)2020",2.35761647796052,0.586369552711227,4.02070071179427,5.82542288185098e-05,1.20827844961619,3.50695450630485,"medicine","***","News attention"
"as.factor(year)2021",1.8665432685925,0.578014725570147,3.22923134311391,0.00124338940352309,0.733581466655372,2.99950507052963,"medicine","*","News attention"
"as.factor(year)2022",0.74819195854539,0.484478729887389,1.54432364599226,0.122526966833693,-0.201430724980541,1.69781464207132,"medicine","","News attention"
"as.factor(year)2023",1.25115312727943,0.695447583045137,1.79906172338832,0.07202512812373,-0.111987830872545,2.6142940854314,"medicine",".","News attention"
"R^2",0.027,0.027,0.027,0.027,0.027,0.027,"medicine","*","News attention"
"(Intercept)",5.03142621379814,0.939272418364788,5.35672730873704,9.66007872878537e-08,3.18914365427479,6.8737087733215,"arts","***","News attention"
"inferred_genderw",-2.4990552533271,0.730784169708689,-3.41968991244472,0.000642094672576106,-3.93241037406397,-1.06570013259022,"arts","***","News attention"
"cited_by_total_all_l",-0.000481274525991201,0.000742197580586147,-0.648445290822852,0.516786617595361,-0.00193701583351808,0.000974466781535679,"arts","","News attention"
"alt_online_all_total_l",0.00373498992763964,0.0178277191729101,0.209504642260414,0.834080003619925,-0.0312321777078278,0.0387021575631071,"arts","","News attention"
"alt_twitter_total_l",-0.00629601761891634,0.00322245723389591,-1.95379400312616,0.0508932215422135,-0.01261652341121,2.44881733773329e-05,"arts",".","News attention"
"coa_tot_cited_by_total_l",4.44316880195676e-05,8.9690333730194e-06,4.95389928564953,8.01491105727519e-07,2.68398867105683e-05,6.20234893285668e-05,"arts","***","News attention"
"coa_online_all_total_l",-0.00310172422264587,0.0041102920917956,-0.754623796405396,0.450581716230041,-0.0111636232917623,0.00496017484647055,"arts","","News attention"
"coa_twitter_total_l",-0.000140355884167465,0.00140334697559513,-0.100015097198569,0.920344409332516,-0.0028928711369838,0.00261215936864887,"arts","","News attention"
"as.factor(year)2014",-0.200760173616109,0.847301713393648,-0.236940596770442,0.812732092655617,-1.86265201534284,1.46113166811062,"arts","","News attention"
"as.factor(year)2015",-0.784077161358359,0.831113390729835,-0.943405761601108,0.34561059507445,-2.41421733665864,0.846063013941926,"arts","","News attention"
"as.factor(year)2016",-0.477905837849523,0.637008779915136,-0.750234302756692,0.453219857924338,-1.72733054420254,0.77151886850349,"arts","","News attention"
"as.factor(year)2017",-0.877656134024152,0.728453303294256,-1.20482140729565,0.228443887297619,-2.30643950916313,0.551127241114822,"arts","","News attention"
"as.factor(year)2018",-0.232220099416899,0.753869225018863,-0.308037643281019,0.75809231168766,-1.71085409128001,1.24641389244621,"arts","","News attention"
"as.factor(year)2019",-0.0418006123655942,0.672313099048076,-0.0621743238749616,0.95043148990157,-1.36047097114359,1.2768697464124,"arts","","News attention"
"as.factor(year)2020",-0.745501316963648,0.877746722919388,-0.849335346401646,0.395817112634027,-2.46710779416476,0.976105160237463,"arts","","News attention"
"as.factor(year)2021",-0.95076182371298,0.732502821059445,-1.29796336120298,0.19448013231081,-2.3874878955685,0.48596424814254,"arts","","News attention"
"as.factor(year)2022",0.0726522259579603,0.931514131470078,0.0779936916719701,0.93784246501216,-1.75441328219836,1.89971773411428,"arts","","News attention"
"as.factor(year)2023",0.125684465957423,0.960733044582193,0.130821425021434,0.89593241592295,-1.75869082047216,2.010059752387,"arts","","News attention"
"R^2",0.033,0.033,0.033,0.033,0.033,0.033,"arts","*","News attention"
